pedido_id,cliente_id,DtPedido,Status Pedido,Forma Pgto,vl_frete,vl_desconto_pedido,cupom_codigo,Canal Venda,uf_entrega,CidadeEntrega
78,18,2025/02/16,Em transporte,cartao_debito,0.00,10.00,APP5,app,go,goiania
79,19,2025-02-18 17:13:00,faturado,pix,9.90,15.00,DADOS15,APP,GO,Anapolis
80,20,2025-02-20,cancelado,PIX,14.90,0.00,,marketplace,ce,fortaleza
81,1,22/02/2025,concluido,cartao_credito,19.90,0.00,,site,Sp,Sao Paulo 
82,2,2025/02/24,Concluido,Cartao de Credito,24.90,5.00,,Site,SP,campinas
83,3,2025-02-26 11:41:00,ENTREGUE,boleto,29.90,10.00,,app,sp,
84,4,2025-02-28,cancelado,cartao_debito,0.00,15.00,BEMVINDO10,APP,rj,rio de janeiro
85,5,02/03/2025,em separacao,pix,9.90,0.00,FRETEGRATIS,marketplace,RJ,Niteroi
86,6,2025/03/04,Em transporte,PIX,14.90,0.00,APP5,site,mg,belo horizonte
87,7,2025-03-06 15:09:00,faturado,cartao_credito,19.90,5.00,DADOS15,Site,MG,Uberlandia
88,8,2025-03-08,cancelado,Cartao de Credito,24.90,10.00,,app,pr,curitiba
89,9,10/03/2025,concluido,boleto,29.90,15.00,,APP,PR,Londrina
90,10,2025/03/12,Concluido,cartao_debito,0.00,0.00,,marketplace,rs,PORTO ALEGRE
91,11,2025-03-14 09:37:00,ENTREGUE,pix,9.90,0.00,,site,RS,Caxias do Sul
92,12,2025-03-16,cancelado,PIX,14.90,5.00,BEMVINDO10,Site,ba,salvador
93,13,18/03/2025,em separacao,cartao_credito,19.90,10.00,FRETEGRATIS,app,BA,Feira de Santana
94,14,2025/03/20,Em transporte,Cartao de Credito,24.90,15.00,APP5,APP,pe,recife
95,15,2025-03-22 13:05:00,faturado,boleto,29.90,0.00,DADOS15,marketplace,PE,Caruaru
96,16,2025-03-24,Cancelado,cartao_debito,0.00,0.00,,site,sc,florianopolis
97,17,26/03/2025,concluido,pix,9.90,5.00,,Site,SC,Joinville
98,18,2025/03/28,Concluido,PIX,14.90,10.00,,app,go,goiania
99,19,2025-03-30 17:33:00,ENTREGUE,cartao_credito,19.90,15.00,,APP,GO,Anapolis
100,20,2025-04-01,cancelado,Cartao de Credito,24.90,0.00,BEMVINDO10,marketplace,ce,fortaleza
