pedido_id,item_seq,codigo_produto,Qtde,Preco Unit.,Desc Item,Subtotal Item
40,1,18,1,139.90,7.00,132.90
40,2,8,4,237.41,142.45,807.19
40,3,16,4,137.91,0.00,551.64
40,4,19,1,82.30,4.12,78.18
40,5,9,1,133.80,0.00,133.80
40,6,7,2,119.90,11.99,227.81
41,1,2,3,349.90,0.00,1049.70
41,2,9,3,129.90,0.00,389.70
42,1,13,1,72.00,0.00,72.00
42,2,9,1,119.51,17.93,101.58
42,3,14,1,52.71,0.00,52.71
42,4,19,1,73.51,7.35,66.16
42,5,3,2,551.08,0.00,1102.16
42,6,8,1,249.90,24.99,224.91
42,7,1,4,183.91,110.35,625.29
43,1,12,1,113.20,0.00,113.20
43,2,6,1,85.41,8.54,76.87
44,1,10,4,82.30,16.46,312.74
45,1,7,1,123.50,12.35,111.15
45,2,3,3,527.12,158.14,1423.22
45,3,8,3,249.90,0.00,749.70
45,4,4,3,442.80,0.00,1328.40
45,5,10,4,79.90,0.00,319.60
45,6,14,3,59.90,26.96,152.74
46,1,15,4,39.90,7.98,151.62
46,2,5,3,164.70,0.00,494.10
46,3,14,1,55.11,0.00,55.11
46,4,6,2,89.90,8.99,170.81
46,5,9,4,133.80,0.00,535.20
46,6,10,4,70.31,0.00,281.24
46,7,13,4,64.31,0.00,257.24
46,8,16,3,142.41,0.00,427.23
47,1,20,1,195.60,19.56,176.04
47,2,9,1,119.51,0.00,119.51
48,1,14,4,59.90,0.00,239.60
48,2,16,3,131.91,0.00,395.73
48,3,18,2,139.90,0.00,279.80
48,4,8,3,257.40,38.61,733.59
48,5,19,3,82.30,12.35,234.55
48,6,11,3,102.90,0.00,308.70
49,1,15,3,36.71,0.00,110.13
49,2,9,2,133.80,0.00,267.60
49,3,10,4,73.51,0.00,294.04
49,4,19,3,82.30,0.00,246.90
49,5,8,3,229.91,0.00,689.73
49,6,2,2,332.41,0.00,664.82
50,1,18,3,128.71,0.00,386.13
51,1,18,2,132.91,39.87,225.95
52,1,16,1,137.91,0.00,137.91
52,2,4,1,429.90,0.00,429.90
52,3,1,4,199.90,0.00,799.60
52,4,10,1,82.30,0.00,82.30
52,5,20,3,174.71,0.00,524.13
52,6,8,1,229.91,22.99,206.92
52,7,15,2,39.90,7.98,71.82
52,8,6,4,89.90,17.98,341.62
53,1,19,1,75.91,7.59,68.32
53,2,14,2,52.71,15.81,89.61
54,1,9,2,119.51,0.00,239.02
54,2,3,1,616.97,0.00,616.97
55,1,14,4,59.90,0.00,239.60
56,1,8,3,237.41,106.83,605.40
57,1,15,2,36.71,0.00,73.42
57,2,3,1,551.08,0.00,551.08
57,3,8,3,229.91,68.97,620.76
57,4,9,3,133.80,20.07,381.33
57,5,7,4,105.51,63.31,358.73
57,6,16,4,142.41,0.00,569.64
57,7,2,4,360.40,72.08,1369.52
57,8,17,1,255.11,12.76,242.35
58,1,11,1,102.90,15.44,87.46
58,2,9,1,123.41,0.00,123.41
58,3,1,4,199.90,0.00,799.60
58,4,3,4,551.08,330.65,1873.67
58,5,8,1,249.90,12.50,237.40
58,6,20,4,180.41,0.00,721.64
59,1,4,4,429.90,0.00,1719.60
59,2,6,1,89.90,4.50,85.40
59,3,11,3,87.91,0.00,263.73
60,1,4,4,378.31,75.66,1437.58
60,2,13,2,61.51,12.30,110.72
60,3,17,4,275.41,165.25,936.39
61,1,2,2,360.40,0.00,720.80
61,2,7,4,119.90,0.00,479.60
61,3,9,2,114.31,34.29,194.33
62,1,10,4,70.31,0.00,281.24
62,2,18,1,128.71,6.44,122.27
63,1,5,3,159.90,47.97,431.73
64,1,9,2,133.80,13.38,254.22
64,2,14,2,55.11,0.00,110.22
64,3,16,4,142.41,0.00,569.64
64,4,18,3,144.10,0.00,432.30
64,5,8,3,237.41,71.22,641.01
64,6,17,4,298.60,0.00,1194.40
65,1,18,4,132.91,26.58,505.06
65,2,16,2,142.41,42.72,242.10
65,3,12,4,101.11,0.00,404.44
66,1,14,4,55.11,0.00,220.44
66,2,2,3,321.91,0.00,965.73
66,3,11,1,99.90,9.99,89.91
66,4,16,1,149.90,22.49,127.41
66,5,13,4,64.31,38.59,218.65
66,6,7,1,110.31,5.52,104.79
66,7,18,3,132.91,39.87,358.86
66,8,17,1,289.90,0.00,289.90
67,1,18,2,132.91,39.87,225.95
67,2,13,4,61.51,0.00,246.04
67,3,11,4,87.91,0.00,351.64
67,4,16,1,142.41,0.00,142.41
67,5,2,1,332.41,0.00,332.41
67,6,10,3,75.91,11.39,216.34
67,7,17,2,266.71,53.34,480.08
67,8,4,2,429.90,0.00,859.80
68,1,3,2,616.97,61.70,1172.24
68,2,13,2,72.00,0.00,144.00
69,1,9,4,114.31,0.00,457.24
69,2,15,2,41.10,0.00,82.20
69,3,20,3,189.90,56.97,512.73
70,1,14,3,59.90,0.00,179.70
70,2,9,4,129.90,0.00,519.60
71,1,13,3,66.41,29.88,169.35
71,2,19,1,75.91,11.39,64.52
72,1,9,4,133.80,0.00,535.20
72,2,1,3,183.91,0.00,551.73
72,3,2,3,321.91,144.86,820.87
73,1,5,2,151.91,0.00,303.82
73,2,4,3,408.41,183.78,1041.45
73,3,2,2,349.90,0.00,699.80
73,4,10,3,73.51,22.05,198.48
73,5,15,3,41.10,0.00,123.30
73,6,1,4,189.91,0.00,759.64
73,7,17,1,275.41,13.77,261.64
74,1,5,4,147.11,58.84,529.60
75,1,3,1,569.05,28.45,540.60
75,2,13,3,66.41,19.92,179.31
75,3,1,3,199.90,0.00,599.70
76,1,8,4,219.91,131.95,747.69
76,2,16,4,142.41,0.00,569.64
76,3,1,1,183.91,0.00,183.91
76,4,11,4,94.91,0.00,379.64
76,5,20,2,167.11,33.42,300.80
77,1,13,4,66.41,26.56,239.08
77,2,15,4,36.71,22.03,124.81
78,1,16,4,154.40,0.00,617.60
79,1,12,4,101.11,20.22,384.22
80,1,12,3,104.41,0.00,313.23
80,2,4,3,429.90,0.00,1289.70
81,1,15,2,35.11,10.53,59.69
82,1,20,2,174.71,0.00,349.42
82,2,1,2,205.90,41.18,370.62
82,3,2,2,321.91,0.00,643.82
82,4,11,1,91.91,0.00,91.91
82,5,8,2,229.91,45.98,413.84
83,1,6,2,79.11,0.00,158.22
83,2,4,2,408.41,81.68,735.14
84,1,1,2,175.91,52.77,299.05
84,2,6,1,89.90,13.49,76.41
84,3,9,4,114.31,22.86,434.38
85,1,12,3,113.20,16.98,322.62
85,2,17,1,255.11,12.76,242.35
85,3,4,4,429.90,257.94,1461.66
85,4,15,4,35.11,21.07,119.37
85,5,8,1,249.90,0.00,249.90
85,6,10,2,75.91,0.00,151.82
85,7,1,3,183.91,55.17,496.56
86,1,19,4,79.90,0.00,319.60
86,2,18,2,123.11,12.31,233.91
86,3,11,2,99.90,9.99,189.81
86,4,13,4,66.41,13.28,252.36
86,5,10,1,79.90,0.00,79.90
87,1,11,4,91.91,0.00,367.64
87,2,9,1,114.31,0.00,114.31
87,3,12,1,109.90,16.49,93.41
88,1,12,4,96.71,0.00,386.84
88,2,5,1,159.90,0.00,159.90
88,3,18,3,144.10,0.00,432.30
88,4,2,2,307.91,0.00,615.82
88,5,11,2,99.90,0.00,199.80
88,6,16,3,142.41,0.00,427.23
89,1,9,1,123.41,0.00,123.41
89,2,19,3,75.91,0.00,227.73
89,3,8,1,237.41,0.00,237.41
89,4,14,4,55.11,0.00,220.44
89,5,1,1,183.91,0.00,183.91
89,6,10,2,82.30,8.23,156.37
89,7,11,4,99.90,0.00,399.60
90,1,12,1,104.41,0.00,104.41
90,2,10,2,73.51,14.70,132.32
91,1,3,4,569.05,341.43,1934.77
92,1,16,2,142.41,28.48,256.34
92,2,15,3,35.11,5.27,100.06
92,3,14,3,52.71,23.72,134.41
93,1,19,4,73.51,29.40,264.64
93,2,16,1,131.91,0.00,131.91
93,3,17,2,275.41,0.00,550.82
93,4,10,3,75.91,0.00,227.73
93,5,2,1,307.91,15.40,292.51
94,1,14,3,61.70,0.00,185.10
94,2,6,1,89.90,4.50,85.40
94,3,5,4,140.71,0.00,562.84
94,4,13,4,66.41,26.56,239.08
94,5,8,4,249.90,0.00,999.60
94,6,9,4,114.31,0.00,457.24
95,1,6,4,79.11,0.00,316.44
95,2,15,4,36.71,14.68,132.16
95,3,12,1,109.90,5.50,104.40
96,1,10,2,70.31,0.00,140.62
96,2,11,2,94.91,0.00,189.82
96,3,8,2,219.91,0.00,439.82
96,4,19,2,73.51,14.70,132.32
96,5,6,1,82.71,0.00,82.71
96,6,2,4,349.90,139.96,1259.64
96,7,9,4,133.80,80.28,454.92
96,8,17,3,298.60,134.37,761.43
97,1,5,4,159.90,95.94,543.66
97,2,15,3,37.91,11.37,102.36
97,3,3,3,527.12,158.14,1423.22
98,1,10,4,79.90,0.00,319.60
99,1,12,1,104.41,15.66,88.75
100,1,3,3,551.08,165.32,1487.92
100,2,17,2,289.90,0.00,579.80
100,3,13,1,69.90,0.00,69.90
100,4,15,2,35.11,0.00,70.22
100,5,2,4,321.91,64.38,1223.26
100,6,8,2,257.40,0.00,514.80
100,7,18,3,132.91,19.94,378.79
100,8,10,3,79.90,35.96,203.74
